Property Reference Number,Full Property Address,Primary Liable party name,Analysis Code,Account Start Date,Current Rateable Value
177507273710,"Unit 14, Challenge Enterprise Centre, Sharps Close, Portsmouth, PO3 5RJ",Annalise Jewellery Limited,CO,01/04/2021,4250
1775107312,"Chameleon Court, Quartremaine Road, Portsmouth, PO3 5QP",Annata Limited,CO,01/04/2017,18250
177504957210,"226, London Road, Portsmouth, PO2 9JQ",Anne Gill Eyecare Ltd,CS,25/10/2012,7400
177511276510,"Unit 4, 15, Anson Road, Southsea, Hants, PO4 8TD",Anson Autos Ltd,IF3,01/02/2008,27000
177511276610,"Unit 5, 15, Anson Road, Southsea, Hants, PO4 8TD",Anson Autos Ltd,IF3,01/09/2016,14250
177511641530,"Office 25 Trafalgar House, 223, Southampton Road, Portsmouth, PO6 4PY",Ant Structures Limited,CO,05/04/2017,800
177510752610,"Units 96 - 97, The Canalside, Gunwharf Quays, Portsmouth, PO1 3FA",Antler Ltd-In Administration,CS,19/05/2010,72500
177590062810,"Multi Storey Car Park, Portsmouth International Port, George Byng Way, Portsmouth, Hants, PO2 8QN",Apcoa Parking Services (Uk) Ltd,CP,08/08/2003,88500
177512295710,"Offices, First Floor, Isambard Brunel Car Park, Alex Rose Lane, Portsmouth, PO1 2GG",Apetito Ltd,CO,14/03/2016,4950
177510725910,"Unit P, Oyo Business Park, Fishers Grove, Portsmouth, Hants, PO6 1RN",Apex Labels (Uk) Ltd,IF3,01/09/2006,15000
177512305010,"Office 37, Block A, Port Way, Port Solent, Portsmouth, PO6 4TZ",Apex Mechanical Services Ltd,CO,15/12/2021,2750
177510731320,"Salamander Court, Ameiva Point, Quartremaine Road, Portsmouth, PO3 5QP",Apex Prime Care Ltd,CO,10/06/2016,18250
177510148310,"Unit 7, Dundas Close, Portsmouth, PO3 5RB",Apj European Supplies Ltd,IF3,01/08/2007,15500
177502876120,"Cosham Bodyshop, Fitzherbert Road, Farlington, Portsmouth, PO6 1RU",Apollo Accident Repair Group Limited,IF3,04/04/2011,109000
177509468910,"3, The Nelson Centre, Portfield Road, Portsmouth, PO3 5SF",App Wholesale Limited,CW,23/01/2018,72500
177507398710,"Unit 902, Victory Business Centre, Somers Road North, Portsmouth, PO1 1PJ",Approve Care Services Ltd,IF3,01/07/2021,1475
177512160210,"Units 11 - 13, The Partnership Business Park, Rodney Road, Southsea, Hants, PO4 8DF",Aqua Cars Ltd,IF3,09/11/2010,72000
177501690310,"220, Copnor Road, Portsmouth, PO3 5DA",Aquadition Ltd,CS,01/01/2003,4750
177511338210,"Unit 5, Fairway Business Centre, Airport Service Road, Portsmouth, Hants, PO3 5NU",Aquam Water Services Ltd,IF,01/05/2016,9200
177500015710,"Unit 10, Venture Industrial Park, Ackworth Road, Portsmouth, PO3 5NS",Archimedes Metals Ltd,CW3,01/04/2009,12500
177511276810,"Left Hand Side, Ags Ltd, Southampton Road, Portsmouth, PO6 4RJ",Architectural Glazing Solutions Ltd,IF3,18/01/2008,21500
177501826010,"Unit 1, 84, Court Lane, Portsmouth, PO6 2LR",Architectural Systems Technology Ltd,IF3,01/06/2001,3800
177501826110,"Unit 2, 84, Court Lane, Portsmouth, PO6 2LR",Architectural Systems Technology Ltd,IF3,01/07/2007,8100
177501826210,"Unit 3, 84, Court Lane, Portsmouth, PO6 2LR",Architectural Systems Technology Ltd,IF3,01/10/2006,7400
177501826310,"Unit 4, 84, Court Lane, Portsmouth, PO6 2LR",Architectural Systems Technology Ltd,IF3,09/08/1999,4250
177501826410,"Unit 5, 84, Court Lane, Portsmouth, PO6 2LR",Architectural Systems Technology Ltd,IF3,15/11/1998,4250
177501618110,"207-211, Commercial Road, Portsmouth, PO1 4BJ",Argos Ltd,CS,08/10/1990,122000
177507388410,"Ark Ayrton Primary Academy, Somers Road, Southsea, Hants, PO5 4LS",Ark Schools,EL,01/09/2013,58500
177511974810,"Ark Dickens Primary Academy, Turner Road, Portsmouth, PO1 4PN",Ark Schools,EL,01/09/2014,67500
177511912511,"Marketing Suite, 61, Earlsdon Street, Southsea, Hants, PO5 4DH",Arlington Student Holdings (No 7) Limited,CX,11/01/2019,6600
177502988510,"216, Fratton Road, Portsmouth, PO1 5HH",Aroy'S Barber Ltd,CS,10/08/2021,4000
177509003310,"Transmitter Mast 2010, Farlington Marshes, Eastern Road, Portsmouth, PO3 6QB",Arqiva Ltd,MT1,01/01/1991,16250
177590136610,"Roof Top (167293), Trunk Exchange, Vectis Way, Portsmouth, PO6 3AN",Arqiva Services Ltd,MT1,01/04/2005,16250
177501698310,"301, Copnor Road, Portsmouth, PO3 5EQ",Arrow Business Consultancy Services Limited,CS,27/09/2018,3550
177500878310,"Art Studio/Gallery, 27, Brougham Road, Southsea, Hants, PO5 4PA",Art Space Portsmouth Ltd,CX,29/09/2006,12750
177511476910,"Suite G46 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Artemis Solutions Limited,CO,01/03/2021,2750
177512110810,"87, Castle Road, Southsea, Hants, PO5 3AY",Artypotz Ceramics Ltd,CS,07/10/2015,10000
177505367610,"14, Marmion Road, Southsea, Hants, PO5 2BA",Arun Estate Agencies Ltd,CS,17/05/1991,15750
177590123610,"Unit 3 & F/F Unit 2, Exchange House, 122-124, London Road, Portsmouth, PO2 9DD",Arun Estate Agencies Ltd,CS,02/05/2005,15500
177506064910,"3, Wholesale Meat Centre, Norway Road, Portsmouth, PO3 5HT",Arun Meat & Livestock Co Ltd,CW3,30/07/1996,14500
177500323511,"311-315, Arundel Street, Portsmouth, PO1 1NJ",Arundel Aviaries& Fisheries Ltd,CS-,01/04/2015,24750
177507520210,"8, Spur Road, Portsmouth, PO6 3EB",Ascent Business Advisors Limited,CO,01/04/2018,6900
177503087710,"14, Bridge Shopping Centre, Garnier Street, Portsmouth, PO1 1SD",Asda Stores Ltd,CS,17/09/2001,14250
177503087810,"16, Bridge Shopping Centre, Garnier Street, Portsmouth, PO1 1SD",Asda Stores Ltd,CS,14/10/2013,8000
177509933610,"Management Offices, Bridge Shopping Centre, Somers Road North, Portsmouth, PO1 1SL",Asda Stores Ltd,CO,30/03/2001,2550
177511959510,"Unit 10c, Skill Centre, Limberline Spur, Portsmouth, PO3 5LF",Asdg Limited,CW3,13/09/2019,3700
